"VerejnyIdentifikatorZakazky","DatumPredlozeniaPonuky","Dodavatel_ICO","Dodavatel_ObchodnyNazov","Dodavatel_StatSidla","PredlozenaCenaBezDPH","SadzbaDPH","PredlozenaCenaSDPH","VyslednePoradie","VstupnaPonuka","Platna",
"Z20242961","5/2/2024 6:01:21 AM","00735272","Kúpeľno-liečebný ústav Ministerstva vnútra SR Družba","Slovenská republika","58589.00","0.00","58589.00","2","False","True",
"Z20242961","5/2/2024 6:16:12 AM","36168301","BARDEJOVSKÉ KÚPELE a.s.","Slovenská republika","57645.00","0.00","57645.00","1","False","True",
"Z20243012","5/2/2024 5:52:21 AM","34117598","UNIONTEX TRADE, spol. s r.o. ","Slovenská republika","1907.00","20.00","2288.40","","True","False",
"Z20243012","5/2/2024 7:16:28 AM","34117598","UNIONTEX TRADE, spol. s r.o. ","Slovenská republika","1691.67","20.00","2030.00","","False","False",
"Z20243012","5/2/2024 7:16:44 AM","06021255","BYTOVÝ TEXTIL Škodák a.s.","Česká republika","1683.33","20.00","2020.00","","False","False",
"Z20243012","5/2/2024 7:17:18 AM","34117598","UNIONTEX TRADE, spol. s r.o. ","Slovenská republika","1675.00","20.00","2010.00","","False","False",
"Z20243012","5/2/2024 7:17:33 AM","06021255","BYTOVÝ TEXTIL Škodák a.s.","Česká republika","1666.67","20.00","2000.00","","False","False",
"Z20243012","5/2/2024 7:20:33 AM","34117598","UNIONTEX TRADE, spol. s r.o. ","Slovenská republika","1658.33","20.00","1990.00","","False","False",
"Z20243012","5/2/2024 7:20:46 AM","06021255","BYTOVÝ TEXTIL Škodák a.s.","Česká republika","1650.00","20.00","1980.00","","False","False",
"Z20243012","5/2/2024 7:20:58 AM","34117598","UNIONTEX TRADE, spol. s r.o. ","Slovenská republika","1641.67","20.00","1970.00","","False","False",
"Z20243012","5/2/2024 7:21:09 AM","06021255","BYTOVÝ TEXTIL Škodák a.s.","Česká republika","1625.00","20.00","1950.00","","False","False",
