"VerejnyIdentifikatorZakazky","DatumPredlozeniaPonuky","Dodavatel_ICO","Dodavatel_ObchodnyNazov","Dodavatel_StatSidla","PredlozenaCenaBezDPH","SadzbaDPH","PredlozenaCenaSDPH","VyslednePoradie","StavKontraktacnejPonuky",
"Z20193134","4.3.2019 7:55:23","36398462","G+G, s.r.o.","Slovenská republika","10390,000","20,000","12468,000","2","platná",
"Z20193134","4.3.2019 8:12:23","46208615","ADVANCE OIL s. r. o.","Slovenská republika","10389,000","20,000","12466,800","1","platná",
"Z20195251","1.3.2019 7:44:39","50259440","P&PENDO s.r.o.","Slovenská republika","26293,000","20,000","31551,600","2","platná",
"Z20195442","4.3.2019 8:04:51","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","1728,000","10,000","1900,800","1","platná",
"Z20195494","1.3.2019 9:42:27","36324124","DEMIFOOD spol. s r.o.","Slovenská republika","26000,000","20,000","31200,000","1","platná",
"Z20195494","1.3.2019 9:41:59","31428819","MABONEX SLOVAKIA spol. s r.o. ","Slovenská republika","26112,500","20,000","31335,000","2","platná",
"Z20195494","1.3.2019 9:16:34","36019208","INMEDIA, spol. s r.o.","Slovenská republika","26113,330","20,000","31336,000","3","platná",
"Z20195510","1.3.2019 9:57:12","31428819","MABONEX SLOVAKIA spol. s r.o. ","Slovenská republika","20134,500","20,000","24161,400","1","platná",
"Z20195659","1.3.2019 12:50:36","46433759","GASTROCHEM, s.r.o.","Slovenská republika","18819,000","20,000","22582,800","3","platná",
"Z20195659","1.3.2019 12:52:12","34221824","Alena Kasáková - GASTROALKA Slovakia","Slovenská republika","18800,000","20,000","22560,000","2","platná",
"Z20195659","1.3.2019 12:59:07","46440577","Profexy s.r.o.","Slovenská republika","18799,000","20,000","22558,800","1","platná",
"Z20195659","1.3.2019 12:53:04","46440577","Profexy s.r.o.","Slovenská republika","18818,000","20,000","22581,600","","stiahnutá",
"Z20195929","4.3.2019 9:40:04","31331131","Štatistické a evidenčné vydavateľstvo tlačív, a.s.","Slovenská republika","98169,000","20,000","117802,800","1","platná",
"Z20195929","4.3.2019 9:51:11","32627211","Tibor Varga TSV PAPIER","Slovenská republika","98169,900","20,000","117803,880","2","platná",
"Z20195946","4.3.2019 9:22:20","47574291","Painthouse, s. r. o. ","Slovenská republika","24700,000","20,000","29640,000","1","platná",
"Z20195946","4.3.2019 8:31:18","31411851","CHEMOLAK a.s.","Slovenská republika","24800,000","20,000","29760,000","2","platná",
"Z20195946","4.3.2019 9:30:42","31628541","SATES, a.s.","Slovenská republika","24997,500","20,000","29997,000","3","platná",
"Z20195948","1.3.2019 8:59:03","36556050","ITSK, s.r.o.","Slovenská republika","483,320","20,000","579,980","1","platná",
"Z20195977","4.3.2019 7:17:53","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","2087,000","10,000","2295,700","2","platná",
"Z20195977","4.3.2019 8:45:51","34113924","MED - ART, spol. s r.o.","Slovenská republika","2086,990","10,000","2295,690","1","platná",
"Z20195980","1.3.2019 8:01:53","31073719","Ľuboslav Moravčík POTRAVINKA","Slovenská republika","37360,000","","42023,000","2","platná",
"Z20195980","1.3.2019 8:40:01","31640265","Kysucké pekárne, a.s.","Slovenská republika","37320,000","","42008,000","1","platná",
"Z20195989","4.3.2019 8:11:05","45329478","ŠTÝL EU s.r.o.","Slovenská republika","1183,000","20,000","1419,600","1","platná",
"Z20196081","1.3.2019 2:09:05","31397549","DANUBIASERVICE, a.s.","Slovenská republika","19716,660","20,000","23659,990","3","platná",
"Z20196081","1.3.2019 9:20:18","31319823","Todos Bratislava s.r.o.","Slovenská republika","19708,330","20,000","23650,000","1","platná",
"Z20196081","1.3.2019 9:50:47","36239763","Autoprofit, s.r.o.","Slovenská republika","19712,500","20,000","23655,000","2","platná",
"Z20196277","1.3.2019 12:46:45","34152199","Bidfood Slovakia s. r. o.","Slovenská republika","6766,900","20,000","8120,280","2","platná",
"Z20196291","1.3.2019 8:02:40","50462121","TECHINS s.r.o.","Slovenská republika","5436,000","20,000","6523,200","2","platná",
"Z20196291","1.3.2019 8:06:10","30228042","U N I M A T spol. s r.o.","Slovenská republika","5433,330","20,000","6520,000","1","platná",
"Z20196291","1.3.2019 7:32:02","51581264","NEUmag s.r.o.","Slovenská republika","5832,000","20,000","6998,400","3","platná",
"Z20196303","4.3.2019 11:58:02","36556050","ITSK, s.r.o.","Slovenská republika","79000,000","20,000","94800,000","2","platná",
"Z20196311","1.3.2019 15:45:45","36426041","PC SEMA, s.r.o.","Slovenská republika","24100,000","20,000","28920,000","1","platná",
"Z20196311","1.3.2019 8:12:57","48269191","WINTEC Slovakia s.r.o.","Slovenská republika","25333,000","20,000","30399,600","4","platná",
"Z20196311","4.3.2019 9:19:52","36556050","ITSK, s.r.o.","Slovenská republika","25300,000","20,000","30360,000","3","platná",
"Z20196311","1.3.2019 9:54:50","46375210","Ib-elektro s.r.o.","Slovenská republika","25000,000","20,000","30000,000","2","platná",
"Z20196318","1.3.2019 10:07:33","36427993","STC MARTIN, s.r.o.","Slovenská republika","13650,000","20,000","16380,000","1","platná",
"Z20196319","1.3.2019 7:34:10","35755989","LASER servis, spol. s.r.o. ","Slovenská republika","437,090","20,000","524,510","2","platná",
"Z20196319","1.3.2019 12:46:57","35891866","CLEAN TONERY, s.r.o.","Slovenská republika","437,000","20,000","524,400","1","platná",
"Z20196345","1.3.2019 10:57:20","36880574","Ing. Peter Gerši - GC Tech.","Slovenská republika","1099,000","20,000","1318,800","1","platná",
"Z20196349","1.3.2019 7:37:32","44007841","IMAO electric, s. r. o.","Slovenská republika","3940,000","20,000","4728,000","3","platná",
"Z20196349","1.3.2019 8:36:50","50616617","Setop, s.r.o.","Slovenská republika","5389,440","20,000","6467,330","11","platná",
"Z20196349","1.3.2019 10:32:20","36834815","ECO-ENERGY LIGHTING, s.r.o.","Slovenská republika","3839,000","20,000","4606,800","1","platná",
"Z20196349","1.3.2019 10:29:23","31564003","SAD, s.r.o.","Slovenská republika","3840,000","20,000","4608,000","2","platná",
"Z20196367","4.3.2019 12:12:54","31344194","JURIGA spol. s r. o.","Slovenská republika","11833,320","20,000","14199,980","3","platná",
"Z20196367","4.3.2019 12:44:00","47414952","Tamás Lovasz - TL Holding","Slovenská republika","11833,280","20,000","14199,940","2","platná",
"Z20196375","1.3.2019 8:34:19","36556050","ITSK, s.r.o.","Slovenská republika","313,320","20,000","375,980","1","platná",
"Z20196379","4.3.2019 12:08:52","36556050","ITSK, s.r.o.","Slovenská republika","215,990","20,000","259,190","3","platná",
"Z20196384","1.3.2019 15:16:18","35728531","InterWay, a. s.","Slovenská republika","104000,000","20,000","124800,000","2","platná",
"Z20196384","1.3.2019 12:18:48","31326650","TEMPEST a.s.","Slovenská republika","105000,000","20,000","126000,000","3","platná",
"Z20196384","4.3.2019 9:59:55","35810734","DATALAN, a.s.","Slovenská republika","103750,000","20,000","124500,000","1","platná",
"Z20196384","1.3.2019 11:16:25","35728531","InterWay, a. s.","Slovenská republika","105446,700","20,000","126536,040","","stiahnutá",
"Z20196388","1.3.2019 9:49:03","36556050","ITSK, s.r.o.","Slovenská republika","374,980","20,000","449,980","2","platná",
"Z20196412","1.3.2019 8:49:36","36556050","ITSK, s.r.o.","Slovenská republika","53,250","20,000","63,900","1","platná",
"Z20196416","1.3.2019 9:51:02","36556050","ITSK, s.r.o.","Slovenská republika","66,580","20,000","79,900","1","platná",
"Z20196418","1.3.2019 10:44:19","48079707","WASCO - družstvo","Slovenská republika","950,000","20,000","1140,000","1","platná",
"Z20196429","1.3.2019 7:05:13","41192516","Lucia Rošková R-interiér","Slovenská republika","8500,000","20,000","10200,000","1","platná",
"Z20196450","1.3.2019 13:21:08","35891866","CLEAN TONERY, s.r.o.","Slovenská republika","100,000","20,000","120,000","1","platná",
"Z20196499","1.3.2019 9:59:04","36556050","ITSK, s.r.o.","Slovenská republika","148,670","20,000","178,410","1","platná",
"Z20196502","1.3.2019 9:56:12","36556050","ITSK, s.r.o.","Slovenská republika","141,630","20,000","169,960","5","platná",
"Z20196505","1.3.2019 9:26:41","50210050","GEPI s.r.o.","Slovenská republika","73450,000","20,000","88140,000","2","platná",
"Z20196506","1.3.2019 11:26:28","36556050","ITSK, s.r.o.","Slovenská republika","458,300","20,000","549,960","1","platná",
"Z20196508","1.3.2019 11:36:03","43818030","DD21 s.r.o.","Slovenská republika","4499,980","20,000","5399,980","4","platná",
