"IdentifikatorZakazky","ZakazkaUrl","ReferenciaTyp","ReferenciaDatumPoslednejZmeny","ReferenciaDovodPoslednejZmeny","ReferenciaPolozka","DodavatelObchodneMeno","DodavatelICO","DodavatelStat",
"Z20221619","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/320717","Neuspokojivé","8/1/2024 9:02:51 AM","","Dodávateľ nedodal predmet zmluvy v rozsahu uvedenom v zmluve","František Nemec STAVREM s.r.o.","50367447","Slovenská republika",
"Z202312781","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/347736","Neuspokojivé","8/1/2024 9:09:34 AM","","Dodávateľ nedodal predmet zmluvy v rozsahu uvedenom v zmluve","Mitaka s.r.o","46879579","Slovenská republika",
"Z202435","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/349639","Uspokojivé","8/1/2024 9:01:43 AM","","","Lucia Rošková R-interiér","41192516","Slovenská republika",
"Z20241301","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/350905","Uspokojivé","8/1/2024 10:46:16 AM","","","Biuro Usług Technicznych Krzysztof Nowicki","370337075","Poľská republika",
"Z20242375","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/351979","Uspokojivé","8/1/2024 9:07:55 AM","","","POLBARD, s.r.o.","36470252","Slovenská republika",
"Z20242441","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/352045","Uspokojivé","8/1/2024 1:04:37 PM","","","Hermes LabSystems, s.r.o.","35693487","Slovenská republika",
"Z20242971","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/352575","Neuspokojivé","8/1/2024 12:52:54 PM","","Dodávateľ nedodal predmet zmluvy v kvalite požadovanej podľa zmluvy","CIMBAĽÁK s.r.o.","36473219","Slovenská republika",
"Z20243466","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/353070","Uspokojivé","8/1/2024 12:10:20 PM","","","BLUEMED s.r.o.","51835827","Slovenská republika",
"Z20244416","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/354020","Uspokojivé","8/1/2024 6:09:46 AM","","","ROTA plus s.r.o.","47198605","Slovenská republika",
"Z20244497","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/354101","Uspokojivé","8/1/2024 9:12:09 AM","","","BIOTECH s.r.o.","35768444","Slovenská republika",
"Z20244613","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/354217","Uspokojivé","8/1/2024 6:39:36 AM","","","H-COLOR, spol.s.r.o.","36539457","Slovenská republika",
"Z20244813","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/354417","Uspokojivé","8/1/2024 6:36:32 AM","","","KASON, s.r.o.","51662787","Slovenská republika",
"Z20244969","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/354573","Uspokojivé","8/1/2024 9:52:11 AM","","","KASON, s.r.o.","51662787","Slovenská republika",
"Z20244968","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/354572","Uspokojivé","8/1/2024 6:37:40 AM","","","Ib-elektro s.r.o.","46375210","Slovenská republika",
"Z20245220","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/354824","Uspokojivé","8/1/2024 6:48:08 AM","","","Železiarstvo HAMMER, s.r.o.","36428353","Slovenská republika",
"Z20245373","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/354977","Uspokojivé","8/1/2024 5:44:12 AM","","","PhDr. Gabriela Spišáková - Majster Papier","33768897","Slovenská republika",
"Z20245375","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/354979","Uspokojivé","8/1/2024 7:08:30 AM","","","PhDr. Gabriela Spišáková - Majster Papier","33768897","Slovenská republika",
"Z20245476","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/355080","Uspokojivé","8/1/2024 4:40:29 AM","","","DMC, s.r.o.","36777455","Slovenská republika",
"Z20245506","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/355110","Uspokojivé","8/1/2024 6:12:06 AM","","","KASON, s.r.o.","51662787","Slovenská republika",
"Z20245664","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/355268","Uspokojivé","8/1/2024 6:10:48 AM","","","MIPA MI, s.r.o.","52696871","Slovenská republika",
"Z20245805","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/355409","Uspokojivé","8/1/2024 7:28:35 AM","","","PhDr. Gabriela Spišáková - Majster Papier","33768897","Slovenská republika",
"Z20245986","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/355590","Uspokojivé","8/1/2024 5:03:50 AM","","","PAH s.r.o.","36602124","Slovenská republika",
