"IdentifikatorZakazky","ZakazkaUrl","StavZakazky","PouzityPostup","ObjednavatelDruh","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DatumVyhlasenia","DatumZazmluvnenia","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularFunkcnaSpecifikacia","OpisnyFormularTechnickaSpecifikaciaTextova","OpisnyFormularTechnickaSpecifikaciaCiselna","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","MaximalnaVyskaZdrojov","ZmluvnyVztah","FinancovanieEU","HodnotiaceKriterium","LehotaNaPredkladaniePonuk","PocetNotifikovanychDodavatelov","VstupnaCena","PocetSutaziacich","PocetPredlozenychPonuk","ZaciatokAukcie","TrvanieAukcie_Minut","PredlzovanieAukcie_Minut","ProtokolOPriebehuZadavaniaZakazky","Priloha_c1_ZmluvnyFormularZakazky","Priloha_c2_VyslednePoradieDodavatelov","Priloha_c3_Zmluva","Priloha_c4A_ZaznamOSystemovychUdalostiachZakazky","Priloha_c4B_ZaznamOSystemovychUdalostiachElektronickejAukcie","AnonymnyZmluvnyFormularZakazky","ObjednavkovyFormularZakazky",
"Z202026393","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/285802","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. b) ","Mesto Rajec","00321575","Slovenská republika","Rajec","01522","Námestie SNP 2/2","19.10.2020 11:14:27","2.11.2020 10:08:00","Viacúčelový stroj  ","čistenie,  zametací sací agregát, zásobník na smeti, vysokotlaké umývacie zariadenie,  sypač, odhŕňač snehu, kosenie, žacia lišta na živé ploty,","34144400-2 Vozidlá na údržbu ciest; 42924730-5 Prístroje na čistenie stlačenou vodou; 42995000-7 Rôzne čistiace stroje; 34144431-8 Zametacie vozidlá s odsávaním; 34220000-5 Prívesy, návesy a pojazdné kontajnery; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","základná jednotka, motor, hnacie zariadenie, štvorkolesový,","Technické vlastnosti: 2-stupňový jazdný pohon cez 4 kolesové motory., Hodnota / charakteristika: Stály pohon všetkých kolies sautomatickou záťažovou a reguláciou preklzu; Technické vlastnosti: Emisné hodnoty, Hodnota / charakteristika: Min. podľa smernice 97/68/EG stupeň IIIb.; Technické vlastnosti: Filter pevných častícs regeneráciou, Hodnota / charakteristika: S regeneráciou; Technické vlastnosti: Plne odpružený podvozok s vinutými pružinami a tlmičmi, panhardskou tyčou vpredu a vzadu. Vzadu prídavný stabilizátor pre malý náklon nadstavby, rychlo-výmenný systém nadstavieb / prípadne obdobné ekvivalentné riešenia podľa výrobcu, Hodnota / charakteristika: Áno; Technické vlastnosti: Kabína vodiča: ROPS, 1-miestna, bezpečnostná, komfortná kabína, zasklená bezpečnostnými sklami.2 rámové dvere s posuvnými oknami. Sklopné spätné zrkadlá vľavo a vpravo. Vzduchom odpružené komfortné sedadlo vodiča s integrovaným 2-bodovým bezpečnostným pásom s predĺženým operadlom asklopnými lakťovými opierkami, bedrovou opierkou a možnosťou nastavenia stĺpika riadenia /  prípadne obdobné ekvivalentné riešenia podľa výrobcu, Hodnota / charakteristika: Áno; Technické vlastnosti: Vykurovací systém vrátane klimatizácie, Hodnota / charakteristika: Áno; Technické vlastnosti: Osvetlenie podľa StVZO, koncové osvetlenie LED, pracovnésvetlomety, maják, 12V zásuvka, 7-pólová zásuvka pre príves /  prípadne obdobné ekvivalentné riešenia podľa výrobcu, Hodnota / charakteristika: Áno; Technické vlastnosti: Hydraulika s elektricky ovládaným riadiacim blokom, hydraulický okruh vpredu, hydraulický okruh vzadu, Hodnota / charakteristika: Áno; Technické vlastnosti: Systém čistej vody s elektrickým vodným čerpadlom. Nastaviteľné množstvo vody, zásobník na čistúvodu s ukazovateľom hladiny, Hodnota / charakteristika: min. hodnota 200 litrov; Technické vlastnosti: Zdvíhací záves/pripojenia: Hydraulický predný zdvíhací záves,, Hodnota / charakteristika: zdvíhacia sila min. hodnota 600 kg; Technické vlastnosti: Predný záves s reguláciou prítlaku a škrtiacim ventilom . Sacia hadica, miesto pre pripojenie zásobníka na smeti alebo trávu, miesto pre pripojenie zadných nadstavieb, posýpače do, Hodnota / charakteristika: min. hodnota 450 kg; Technické vlastnosti: Nakladacia korba nosnosť, Hodnota / charakteristika: do min. hodnota 500kg; Technické vlastnosti: Príprava pre ťažné zariadenie, Hodnota / charakteristika: áno; Technické vlastnosti: Rádio, Hodnota / charakteristika: Áno","Technické vlastnosti: 4-válcový, vznetový motor, Jednotka: kW, Minimum: 50, Maximum: , Presná hodnota: ; Technické vlastnosti: Dopravný režim do km / hodinu, Jednotka: km/h, Minimum: 40, Maximum: , Presná hodnota: ; Technické vlastnosti: Plne hydraulické riadenie s rajdom, Jednotka: stupne, Minimum: 45, Maximum: , Presná hodnota: ; Technické vlastnosti: Celková dĺžka, Jednotka: mm, Minimum: , Maximum: 4000, Presná hodnota: ; Technické vlastnosti: Šírka vozidla bez zrkadiel, Jednotka: mm, Minimum: , Maximum: 1300, Presná hodnota: ; Technické vlastnosti: Výška, Jednotka: mm, Minimum: , Maximum: 2000, Presná hodnota: ; Technické vlastnosti: Viacúčelový stroj, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 1; Technické vlastnosti: Minimálny šírka pneumatík, Jednotka: mm, Minimum: 255, Maximum: , Presná hodnota: ","Slovenská republika","Žilinský","Žilina","Rajec","Námestie SNP 2/2    ","","","18.12.2020 9:00:00","kompletná dodávka ako celok","1,0000","142000,000","Kúpna zmluva","False","Cena s DPH","2.11.2020 9:00:00","426","142000,000","5","26","2.11.2020 9:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=496c2bea-0766-4e66-9598-222039e92cc1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=98996fc4-43d9-48a7-b61d-f0f7d22e4f4e","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=fcf4faaf-c05e-4749-9413-8fe2b551af2a","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=72ca2622-f195-4847-afbb-8c6e22f6eaaf","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=6cb07647-d5f9-4de8-8e96-aa830c721584","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=7616981c-0006-4629-95d2-e779ba4fc041","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a58ff12b-92bf-45c3-aa73-a41ba3d2c1e2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=74c5c378-ad42-470c-bfb9-0ee4d663411a",
"Z202026393","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/285802","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. b) ","Mesto Rajec","00321575","Slovenská republika","Rajec","01522","Námestie SNP 2/2","19.10.2020 11:14:27","2.11.2020 10:08:00","Viacúčelový stroj  ","","","","","zametanie komunikácií, chodníkov, spevnených plôch","Technické vlastnosti: Dva hydraulicky poháňané upínače pre tanierové kefy 900 mm (za príplatok).Maximálna zametacia šírka min. 2000 max. 2.300 mm. Vnútorný zametací rádius 1.330 mm +- 15%. Regulovateľné otáčky kief 0-120 ot./min -+ 15%. Hydraulicky regulovateľná pracovná šírka oddelene vpravo/vľavo pomocou  ovládania kief. Dodatočne nastaviteľné mechanické dorazy pre maximálnu šírku zametania. Sklon  kief nastaviteľný v min.2 úrovniach a jednotlivo. Prítlak kief nastaviteľný jednotlivo. / prípadne obdobné ekvivalentné riešenia podľa výrobcu, Hodnota / charakteristika: Áno","Technické vlastnosti: Predný zametací sací agregát na rýchlo-výmennom trojuholníku s 3-násobnou ochranou proti nájazdu tanierových kief v zornom poli vodiča. Sacia hubica uložená medzi kolesami s ochranou proti nájazdu, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 1","Slovenská republika","Žilinský","Žilina","Rajec","Námestie SNP 2/2    ","","","18.12.2020 9:00:00","kompletná dodávka ako celok","1,0000","142000,000","Kúpna zmluva","False","Cena s DPH","2.11.2020 9:00:00","426","142000,000","5","26","2.11.2020 9:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=496c2bea-0766-4e66-9598-222039e92cc1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=98996fc4-43d9-48a7-b61d-f0f7d22e4f4e","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=fcf4faaf-c05e-4749-9413-8fe2b551af2a","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=72ca2622-f195-4847-afbb-8c6e22f6eaaf","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=6cb07647-d5f9-4de8-8e96-aa830c721584","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=7616981c-0006-4629-95d2-e779ba4fc041","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a58ff12b-92bf-45c3-aa73-a41ba3d2c1e2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=74c5c378-ad42-470c-bfb9-0ee4d663411a",
"Z202026393","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/285802","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. b) ","Mesto Rajec","00321575","Slovenská republika","Rajec","01522","Námestie SNP 2/2","19.10.2020 11:14:27","2.11.2020 10:08:00","Viacúčelový stroj  ","","","","","zber väčších odpadkov, samostatná  hadica pre zber a vysávanie,","Technické vlastnosti: Oceľová sacia hadica na vodiacich kolečkách s klapkou pre zber väčších odpadkov. Šírka sacej hadice 550 mm + - 20%, Hydraulické zdvíhanie sacej hadice. Sací kanál-Ø 180 mm + - 20%./ prípadne obdobné ekvivalentné riešenia podľa výrobcu, Hodnota / charakteristika: Áno","Technické vlastnosti: Sacia hadica / Sací kanál, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 1","Slovenská republika","Žilinský","Žilina","Rajec","Námestie SNP 2/2    ","","","18.12.2020 9:00:00","kompletná dodávka ako celok","1,0000","142000,000","Kúpna zmluva","False","Cena s DPH","2.11.2020 9:00:00","426","142000,000","5","26","2.11.2020 9:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=496c2bea-0766-4e66-9598-222039e92cc1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=98996fc4-43d9-48a7-b61d-f0f7d22e4f4e","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=fcf4faaf-c05e-4749-9413-8fe2b551af2a","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=72ca2622-f195-4847-afbb-8c6e22f6eaaf","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=6cb07647-d5f9-4de8-8e96-aa830c721584","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=7616981c-0006-4629-95d2-e779ba4fc041","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a58ff12b-92bf-45c3-aa73-a41ba3d2c1e2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=74c5c378-ad42-470c-bfb9-0ee4d663411a",
"Z202026393","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/285802","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. b) ","Mesto Rajec","00321575","Slovenská republika","Rajec","01522","Námestie SNP 2/2","19.10.2020 11:14:27","2.11.2020 10:08:00","Viacúčelový stroj  ","","","","","obmedzenie prašnosti","Technické vlastnosti: plniteľné zariadenie pre kropenie vodou na oboch tanierových kartáčoch a kropenie vodou v sacej hadici pre obmedzenie prašnosti. Zásobenie z vodnej cisterny na boku vozidla. Záver pre plnenie vody Storz D/C/ekvivalekt podľa výrobcu pre zásobník čistej vody. Gravitačný obehový  vodný systém cca.  do180 litrov + - 20%,, Hodnota / charakteristika: Áno","Technické vlastnosti: Zariadenie pre kropenie vodou, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 1","Slovenská republika","Žilinský","Žilina","Rajec","Námestie SNP 2/2    ","","","18.12.2020 9:00:00","kompletná dodávka ako celok","1,0000","142000,000","Kúpna zmluva","False","Cena s DPH","2.11.2020 9:00:00","426","142000,000","5","26","2.11.2020 9:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=496c2bea-0766-4e66-9598-222039e92cc1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=98996fc4-43d9-48a7-b61d-f0f7d22e4f4e","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=fcf4faaf-c05e-4749-9413-8fe2b551af2a","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=72ca2622-f195-4847-afbb-8c6e22f6eaaf","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=6cb07647-d5f9-4de8-8e96-aa830c721584","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=7616981c-0006-4629-95d2-e779ba4fc041","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a58ff12b-92bf-45c3-aa73-a41ba3d2c1e2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=74c5c378-ad42-470c-bfb9-0ee4d663411a",
"Z202026393","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/285802","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. b) ","Mesto Rajec","00321575","Slovenská republika","Rajec","01522","Námestie SNP 2/2","19.10.2020 11:14:27","2.11.2020 10:08:00","Viacúčelový stroj  ","","","","","úplne plniteľný zásobník,","Technické vlastnosti: vyrobený zo zliatiny hliníka/ekvivalent z hliníka či iného materiálu s bez koróznou úpravou. Hydraulicky výklopné, ručné čerpadlo pre vyklopenie zásobníka v núdzovom prípade. Uzáver aj pre plnenie vody., Hodnota / charakteristika: Áno","Technické vlastnosti: Zásobník na smeti, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 1; Technické vlastnosti: Úplne plniteľný zásobník, vyrobený zo zliatiny hliníka. Menovitýobjem, Jednotka: l, Minimum: 1300, Maximum: , Presná hodnota: ","Slovenská republika","Žilinský","Žilina","Rajec","Námestie SNP 2/2    ","","","18.12.2020 9:00:00","kompletná dodávka ako celok","1,0000","142000,000","Kúpna zmluva","False","Cena s DPH","2.11.2020 9:00:00","426","142000,000","5","26","2.11.2020 9:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=496c2bea-0766-4e66-9598-222039e92cc1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=98996fc4-43d9-48a7-b61d-f0f7d22e4f4e","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=fcf4faaf-c05e-4749-9413-8fe2b551af2a","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=72ca2622-f195-4847-afbb-8c6e22f6eaaf","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=6cb07647-d5f9-4de8-8e96-aa830c721584","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=7616981c-0006-4629-95d2-e779ba4fc041","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a58ff12b-92bf-45c3-aa73-a41ba3d2c1e2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=74c5c378-ad42-470c-bfb9-0ee4d663411a",
"Z202026393","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/285802","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. b) ","Mesto Rajec","00321575","Slovenská republika","Rajec","01522","Námestie SNP 2/2","19.10.2020 11:14:27","2.11.2020 10:08:00","Viacúčelový stroj  ","","","","","sacia sila","Technické vlastnosti: Hydraulicky poháňaná radiálna turbína, Hodnota / charakteristika: Áno; Technické vlastnosti: Odvod vzduchu cez veko zásobníka. Prípojka vody prečistenie., Hodnota / charakteristika: Áno","Technické vlastnosti: Sacia turbína, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 1","Slovenská republika","Žilinský","Žilina","Rajec","Námestie SNP 2/2    ","","","18.12.2020 9:00:00","kompletná dodávka ako celok","1,0000","142000,000","Kúpna zmluva","False","Cena s DPH","2.11.2020 9:00:00","426","142000,000","5","26","2.11.2020 9:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=496c2bea-0766-4e66-9598-222039e92cc1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=98996fc4-43d9-48a7-b61d-f0f7d22e4f4e","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=fcf4faaf-c05e-4749-9413-8fe2b551af2a","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=72ca2622-f195-4847-afbb-8c6e22f6eaaf","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=6cb07647-d5f9-4de8-8e96-aa830c721584","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=7616981c-0006-4629-95d2-e779ba4fc041","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a58ff12b-92bf-45c3-aa73-a41ba3d2c1e2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=74c5c378-ad42-470c-bfb9-0ee4d663411a",
"Z202026393","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/285802","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. b) ","Mesto Rajec","00321575","Slovenská republika","Rajec","01522","Námestie SNP 2/2","19.10.2020 11:14:27","2.11.2020 10:08:00","Viacúčelový stroj  ","","","","","sanie","Technické vlastnosti: použiteľná z oboch strán vozidla. Samovťažná teleskopická sacia hadica, prevádzková dĺžka do min. 3,50 m, odporúčaný priemer 125 mm + - 15 %. Trvalo pripravená k použitiu, umiestnená v strede či inde na vozidle podľa výrobcu., Hodnota / charakteristika: Áno","Technické vlastnosti: Ručná sacia hadica, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 1","Slovenská republika","Žilinský","Žilina","Rajec","Námestie SNP 2/2    ","","","18.12.2020 9:00:00","kompletná dodávka ako celok","1,0000","142000,000","Kúpna zmluva","False","Cena s DPH","2.11.2020 9:00:00","426","142000,000","5","26","2.11.2020 9:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=496c2bea-0766-4e66-9598-222039e92cc1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=98996fc4-43d9-48a7-b61d-f0f7d22e4f4e","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=fcf4faaf-c05e-4749-9413-8fe2b551af2a","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=72ca2622-f195-4847-afbb-8c6e22f6eaaf","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=6cb07647-d5f9-4de8-8e96-aa830c721584","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=7616981c-0006-4629-95d2-e779ba4fc041","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a58ff12b-92bf-45c3-aa73-a41ba3d2c1e2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=74c5c378-ad42-470c-bfb9-0ee4d663411a",
"Z202026393","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/285802","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. b) ","Mesto Rajec","00321575","Slovenská republika","Rajec","01522","Námestie SNP 2/2","19.10.2020 11:14:27","2.11.2020 10:08:00","Viacúčelový stroj  ","","","","","vysokotlakové umývacie zariadenie","Technické vlastnosti: V zásobníku integrované vysokotlakovo čerpadlo min. 13 l/min, min.120 bar s rozstrekovacou tryskou a min.10m hadicou. Napájanie zo zásobníka čistej vody / ekvivalent podľa výrobcu., Hodnota / charakteristika: Áno","Technické vlastnosti: Vysokotlaké umývacie zariadenie, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 1","Slovenská republika","Žilinský","Žilina","Rajec","Námestie SNP 2/2    ","","","18.12.2020 9:00:00","kompletná dodávka ako celok","1,0000","142000,000","Kúpna zmluva","False","Cena s DPH","2.11.2020 9:00:00","426","142000,000","5","26","2.11.2020 9:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=496c2bea-0766-4e66-9598-222039e92cc1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=98996fc4-43d9-48a7-b61d-f0f7d22e4f4e","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=fcf4faaf-c05e-4749-9413-8fe2b551af2a","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=72ca2622-f195-4847-afbb-8c6e22f6eaaf","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=6cb07647-d5f9-4de8-8e96-aa830c721584","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=7616981c-0006-4629-95d2-e779ba4fc041","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a58ff12b-92bf-45c3-aa73-a41ba3d2c1e2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=74c5c378-ad42-470c-bfb9-0ee4d663411a",
"Z202026393","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/285802","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. b) ","Mesto Rajec","00321575","Slovenská republika","Rajec","01522","Námestie SNP 2/2","19.10.2020 11:14:27","2.11.2020 10:08:00","Viacúčelový stroj  ","","","","","sypač nesený vzadu !","Technické vlastnosti: druh posypového materiálu (štrk, piesok, soľ, piesok), Hodnota / charakteristika: Áno; Technické vlastnosti: množstvo posypu môže byť nastavené z kabíny vodiča, Hodnota / charakteristika: Áno; Technické vlastnosti: odstavné nohy, Hodnota / charakteristika: Áno","Technické vlastnosti: šírka posypu, Jednotka: m, Minimum: 1, Maximum: 6, Presná hodnota: ; Technické vlastnosti: objem, Jednotka: l, Minimum: 550, Maximum: , Presná hodnota: ; Technické vlastnosti: sypač nesený, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 1","Slovenská republika","Žilinský","Žilina","Rajec","Námestie SNP 2/2    ","","","18.12.2020 9:00:00","kompletná dodávka ako celok","1,0000","142000,000","Kúpna zmluva","False","Cena s DPH","2.11.2020 9:00:00","426","142000,000","5","26","2.11.2020 9:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=496c2bea-0766-4e66-9598-222039e92cc1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=98996fc4-43d9-48a7-b61d-f0f7d22e4f4e","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=fcf4faaf-c05e-4749-9413-8fe2b551af2a","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=72ca2622-f195-4847-afbb-8c6e22f6eaaf","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=6cb07647-d5f9-4de8-8e96-aa830c721584","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=7616981c-0006-4629-95d2-e779ba4fc041","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a58ff12b-92bf-45c3-aa73-a41ba3d2c1e2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=74c5c378-ad42-470c-bfb9-0ee4d663411a",
"Z202026393","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/285802","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. b) ","Mesto Rajec","00321575","Slovenská republika","Rajec","01522","Námestie SNP 2/2","19.10.2020 11:14:27","2.11.2020 10:08:00","Viacúčelový stroj  ","","","","","odhŕňanie snehu","Technické vlastnosti: Čelná snehová radlica musí mať možnosť dvoch tvaroch a to štandard v jednom ""kuse"" a v tzv. tvaru šípu t.j. vonkajšieho uhla viac ako 200 stupňov, Hodnota / charakteristika: Áno","Technické vlastnosti: Čelná snehová radlica, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 1; Technické vlastnosti: Šírka záberu, Jednotka: cm, Minimum: , Maximum: 160, Presná hodnota: ; Technické vlastnosti: výška radlice, Jednotka: cm, Minimum: , Maximum: 80, Presná hodnota: ; Technické vlastnosti: Pomocou hydraulických obvodov bude sa môcť snehovú radlicu obojstranne pretáčať - vľavo i vpravo v uhle, Jednotka: stupeň, Minimum: , Maximum: 30, Presná hodnota: ","Slovenská republika","Žilinský","Žilina","Rajec","Námestie SNP 2/2    ","","","18.12.2020 9:00:00","kompletná dodávka ako celok","1,0000","142000,000","Kúpna zmluva","False","Cena s DPH","2.11.2020 9:00:00","426","142000,000","5","26","2.11.2020 9:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=496c2bea-0766-4e66-9598-222039e92cc1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=98996fc4-43d9-48a7-b61d-f0f7d22e4f4e","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=fcf4faaf-c05e-4749-9413-8fe2b551af2a","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=72ca2622-f195-4847-afbb-8c6e22f6eaaf","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=6cb07647-d5f9-4de8-8e96-aa830c721584","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=7616981c-0006-4629-95d2-e779ba4fc041","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a58ff12b-92bf-45c3-aa73-a41ba3d2c1e2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=74c5c378-ad42-470c-bfb9-0ee4d663411a",
