"IdentifikatorZakazky","ZakazkaUrl","StavZakazky","PouzityPostup","ObjednavatelDruh","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DatumVyhlasenia","DatumZazmluvnenia","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularFunkcnaSpecifikacia","OpisnyFormularTechnickaSpecifikaciaTextova","OpisnyFormularTechnickaSpecifikaciaCiselna","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","MaximalnaVyskaZdrojov","ZmluvnyVztah","FinancovanieEU","HodnotiaceKriterium","LehotaNaPredkladaniePonuk","PocetNotifikovanychDodavatelov","VstupnaCena","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","PocetSutaziacich","PocetPredlozenychPonuk","ZaciatokAukcie","TrvanieAukcie_Minut","PredlzovanieAukcie_Minut","ProtokolOPriebehuZadavaniaZakazky","Priloha_c1_ZmluvnyFormularZakazky","Priloha_c2_VyslednePoradieDodavatelov","Priloha_c3_Zmluva","Priloha_c4A_ZaznamOSystemovychUdalostiachZakazky","Priloha_c4B_ZaznamOSystemovychUdalostiachElektronickejAukcie","AnonymnyZmluvnyFormularZakazky","ObjednavkovyFormularZakazky","DodavatelICO","DodavatelStat","DodavatelKraj","DodavatelOkres","DodavatelObec","DodavatelPSC","DodavatelUlica","ReferenciaTyp","ReferenciaDatumPoslednejZmeny","ReferenciaDovodPoslednejZmeny","ReferenciaPolozka","IdStavVCrz",
"Z20237321","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/342276","zazmluvnená","§ 117 a § 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava","83247","Kutuzovova 8","7/14/2023 3:35:11 PM","8/1/2023 9:48:00 AM","Laboratórne diagnostické pomôcky a materiál  ","","","Tovar","","Spotrebný (drobný) laboratórny materiál je potrebný na výkon akreditovaných skúšok a rozborov PHM v akreditovanom laboratóriu na Úseku kontroly kvality. Tieto akreditované skúšky sú kontrolované Slovenskou národnou akreditačnou službou (SNAS).","Technické vlastnosti: Popis, Hodnota / charakteristika: sudový lievik hrubostenný; Technické vlastnosti: Technické parametre, Hodnota / charakteristika: Materiál plast, Rozmery priemer lievika: 250 mmvýška: 260 mm, dĺžka stonky: 100 mm, priemer stonky: 30 mm","Technické vlastnosti: Lievik sudový hrubostenný, priemer lievika 250 mm, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 1","Slovenská republika","Žilinský","Žilina","Žilina","Rajecká cesta 18","8/4/2023 7:00:00 AM","9/22/2023 1:00:00 PM","","súbor jednotiek","1.0000","3694.000","Kúpna zmluva","False","Cena s DPH","8/1/2023 9:00:00 AM","297","3693.600","2000.000","20.000","2400.000","1293.600","5","26","8/1/2023 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=9ab339ec-1447-44db-becb-877d9343eb40","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3cbb32c7-34ea-4f8e-96b4-3110e790803d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=c7f3dae0-8dda-4e76-971f-6cd937fb47dc","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=dbadd7e0-587e-4212-b28e-8bd33e122d55","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=2774b92c-4347-4d9a-a025-9c80091e76a1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=4e7d9cdf-9ddb-47a7-8840-cc64283c1f49","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=718da78d-ee08-4a2c-8a96-b85b9efb7a8d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=29c86094-0ced-4196-bddb-251fa739eab1","35693487","Slovenská republika","","","Bratislava","831 06","Púchovská 12","","","","","",
"Z20237321","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/342276","zazmluvnená","§ 117 a § 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava","83247","Kutuzovova 8","7/14/2023 3:35:11 PM","8/1/2023 9:48:00 AM","Laboratórne diagnostické pomôcky a materiál  ","","","Tovar","","Spotrebný (drobný) laboratórny materiál je potrebný na výkon akreditovaných skúšok a rozborov PHM v akreditovanom laboratóriu na Úseku kontroly kvality. Tieto akreditované skúšky sú kontrolované Slovenskou národnou akreditačnou službou (SNAS).","Technické vlastnosti: Popis, Hodnota / charakteristika: sudový lievik hrubostenný; Technické vlastnosti: Technické parametre, Hodnota / charakteristika: Materiál plast, Rozmery priemer lievika: 350 mmvýška: 440 mm, dĺžka stonky: 170 mm, priemer stonky: 35 mm","Technické vlastnosti: Lievik sudový hrubostenný, priemer lievika 350 mm, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 1","Slovenská republika","Žilinský","Žilina","Žilina","Rajecká cesta 18","8/4/2023 7:00:00 AM","9/22/2023 1:00:00 PM","","súbor jednotiek","1.0000","3694.000","Kúpna zmluva","False","Cena s DPH","8/1/2023 9:00:00 AM","297","3693.600","2000.000","20.000","2400.000","1293.600","5","26","8/1/2023 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=9ab339ec-1447-44db-becb-877d9343eb40","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3cbb32c7-34ea-4f8e-96b4-3110e790803d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=c7f3dae0-8dda-4e76-971f-6cd937fb47dc","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=dbadd7e0-587e-4212-b28e-8bd33e122d55","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=2774b92c-4347-4d9a-a025-9c80091e76a1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=4e7d9cdf-9ddb-47a7-8840-cc64283c1f49","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=718da78d-ee08-4a2c-8a96-b85b9efb7a8d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=29c86094-0ced-4196-bddb-251fa739eab1","35693487","Slovenská republika","","","Bratislava","831 06","Púchovská 12","","","","","",
"Z20237321","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/342276","zazmluvnená","§ 117 a § 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava","83247","Kutuzovova 8","7/14/2023 3:35:11 PM","8/1/2023 9:48:00 AM","Laboratórne diagnostické pomôcky a materiál  ","","","Tovar","","Spotrebný (drobný) laboratórny materiál je potrebný na výkon akreditovaných skúšok a rozborov PHM v akreditovanom laboratóriu na Úseku kontroly kvality. Tieto akreditované skúšky sú kontrolované Slovenskou národnou akreditačnou službou (SNAS).","Technické vlastnosti: Popis, Hodnota / charakteristika: špecifický finálový filter pre Prístroj na úpravu vody – WERNER EASY PURE I.; Technické vlastnosti: Technické parametre, Hodnota / charakteristika: Priemer 0,2 μm","Technické vlastnosti: Finálový filter Thermo Scientific Barnstead D 3750, 0,2 μm (pre prístroj na úpravu vody WERNER EASY PURE I.), Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 1","Slovenská republika","Žilinský","Žilina","Žilina","Rajecká cesta 18","8/4/2023 7:00:00 AM","9/22/2023 1:00:00 PM","","súbor jednotiek","1.0000","3694.000","Kúpna zmluva","False","Cena s DPH","8/1/2023 9:00:00 AM","297","3693.600","2000.000","20.000","2400.000","1293.600","5","26","8/1/2023 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=9ab339ec-1447-44db-becb-877d9343eb40","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3cbb32c7-34ea-4f8e-96b4-3110e790803d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=c7f3dae0-8dda-4e76-971f-6cd937fb47dc","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=dbadd7e0-587e-4212-b28e-8bd33e122d55","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=2774b92c-4347-4d9a-a025-9c80091e76a1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=4e7d9cdf-9ddb-47a7-8840-cc64283c1f49","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=718da78d-ee08-4a2c-8a96-b85b9efb7a8d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=29c86094-0ced-4196-bddb-251fa739eab1","35693487","Slovenská republika","","","Bratislava","831 06","Púchovská 12","","","","","",
"Z20237321","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/342276","zazmluvnená","§ 117 a § 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava","83247","Kutuzovova 8","7/14/2023 3:35:11 PM","8/1/2023 9:48:00 AM","Laboratórne diagnostické pomôcky a materiál  ","","","Tovar","","Spotrebný (drobný) laboratórny materiál je potrebný na výkon akreditovaných skúšok a rozborov PHM v akreditovanom laboratóriu na Úseku kontroly kvality. Tieto akreditované skúšky sú kontrolované Slovenskou národnou akreditačnou službou (SNAS).","Technické vlastnosti: Popis, Hodnota / charakteristika: membránový filter; Technické vlastnosti: Technické parametre, Hodnota / charakteristika: Materiál nitrát celulózy, Rozmery priemer: 47 mmveľkosť pórov: 0,45 μm","Technické vlastnosti: Nitrát celulózy (NC) membránové filtre, priemer: 47 mm, veľkosť pórov: 0,45 μm, Jednotka: balenie, Minimum: , Maximum: , Presná hodnota: 1","Slovenská republika","Žilinský","Žilina","Žilina","Rajecká cesta 18","8/4/2023 7:00:00 AM","9/22/2023 1:00:00 PM","","súbor jednotiek","1.0000","3694.000","Kúpna zmluva","False","Cena s DPH","8/1/2023 9:00:00 AM","297","3693.600","2000.000","20.000","2400.000","1293.600","5","26","8/1/2023 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=9ab339ec-1447-44db-becb-877d9343eb40","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3cbb32c7-34ea-4f8e-96b4-3110e790803d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=c7f3dae0-8dda-4e76-971f-6cd937fb47dc","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=dbadd7e0-587e-4212-b28e-8bd33e122d55","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=2774b92c-4347-4d9a-a025-9c80091e76a1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=4e7d9cdf-9ddb-47a7-8840-cc64283c1f49","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=718da78d-ee08-4a2c-8a96-b85b9efb7a8d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=29c86094-0ced-4196-bddb-251fa739eab1","35693487","Slovenská republika","","","Bratislava","831 06","Púchovská 12","","","","","",
"Z20237321","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/342276","zazmluvnená","§ 117 a § 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava","83247","Kutuzovova 8","7/14/2023 3:35:11 PM","8/1/2023 9:48:00 AM","Laboratórne diagnostické pomôcky a materiál  ","","","Tovar","","Spotrebný (drobný) laboratórny materiál je potrebný na výkon akreditovaných skúšok a rozborov PHM v akreditovanom laboratóriu na Úseku kontroly kvality. Tieto akreditované skúšky sú kontrolované Slovenskou národnou akreditačnou službou (SNAS).","Technické vlastnosti: Popis, Hodnota / charakteristika: fľaša hrubostenná; Technické vlastnosti: Technické parametre, Hodnota / charakteristika: Materiál HDPE, Objem 10 l, Rozmery priemer/výška:210x427mm, priemer hrdla: 50 mm","Technické vlastnosti: Fľaša HDPE hrubostenná, objem 10 l, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 2","Slovenská republika","Žilinský","Žilina","Žilina","Rajecká cesta 18","8/4/2023 7:00:00 AM","9/22/2023 1:00:00 PM","","súbor jednotiek","1.0000","3694.000","Kúpna zmluva","False","Cena s DPH","8/1/2023 9:00:00 AM","297","3693.600","2000.000","20.000","2400.000","1293.600","5","26","8/1/2023 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=9ab339ec-1447-44db-becb-877d9343eb40","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3cbb32c7-34ea-4f8e-96b4-3110e790803d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=c7f3dae0-8dda-4e76-971f-6cd937fb47dc","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=dbadd7e0-587e-4212-b28e-8bd33e122d55","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=2774b92c-4347-4d9a-a025-9c80091e76a1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=4e7d9cdf-9ddb-47a7-8840-cc64283c1f49","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=718da78d-ee08-4a2c-8a96-b85b9efb7a8d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=29c86094-0ced-4196-bddb-251fa739eab1","35693487","Slovenská republika","","","Bratislava","831 06","Púchovská 12","","","","","",
"Z20237321","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/342276","zazmluvnená","§ 117 a § 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava","83247","Kutuzovova 8","7/14/2023 3:35:11 PM","8/1/2023 9:48:00 AM","Laboratórne diagnostické pomôcky a materiál  ","","","Tovar","","Spotrebný (drobný) laboratórny materiál je potrebný na výkon akreditovaných skúšok a rozborov PHM v akreditovanom laboratóriu na Úseku kontroly kvality. Tieto akreditované skúšky sú kontrolované Slovenskou národnou akreditačnou službou (SNAS).","Technické vlastnosti: Popis, Hodnota / charakteristika: kohút vypúšťací; Technické vlastnosti: Technické parametre, Hodnota / charakteristika: Objem k 10 l hrubostennej HDPE fľaši","Technické vlastnosti: Kohút vypúšťací k fľaši HDPE hrubostennej pre objem 10 l, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 3","Slovenská republika","Žilinský","Žilina","Žilina","Rajecká cesta 18","8/4/2023 7:00:00 AM","9/22/2023 1:00:00 PM","","súbor jednotiek","1.0000","3694.000","Kúpna zmluva","False","Cena s DPH","8/1/2023 9:00:00 AM","297","3693.600","2000.000","20.000","2400.000","1293.600","5","26","8/1/2023 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=9ab339ec-1447-44db-becb-877d9343eb40","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3cbb32c7-34ea-4f8e-96b4-3110e790803d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=c7f3dae0-8dda-4e76-971f-6cd937fb47dc","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=dbadd7e0-587e-4212-b28e-8bd33e122d55","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=2774b92c-4347-4d9a-a025-9c80091e76a1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=4e7d9cdf-9ddb-47a7-8840-cc64283c1f49","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=718da78d-ee08-4a2c-8a96-b85b9efb7a8d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=29c86094-0ced-4196-bddb-251fa739eab1","35693487","Slovenská republika","","","Bratislava","831 06","Púchovská 12","","","","","",
"Z20237321","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/342276","zazmluvnená","§ 117 a § 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava","83247","Kutuzovova 8","7/14/2023 3:35:11 PM","8/1/2023 9:48:00 AM","Laboratórne diagnostické pomôcky a materiál  ","","","Tovar","","Spotrebný (drobný) laboratórny materiál je potrebný na výkon akreditovaných skúšok a rozborov PHM v akreditovanom laboratóriu na Úseku kontroly kvality. Tieto akreditované skúšky sú kontrolované Slovenskou národnou akreditačnou službou (SNAS).","Technické vlastnosti: Popis, Hodnota / charakteristika: fľaša hrubostenná; Technické vlastnosti: Technické parametre, Hodnota / charakteristika: Materiál HDPE, Objem 5 l, Rozmery priemer/výška:167x348mm, priemer hrdla: 50 mm","Technické vlastnosti: Fľaša HDPE hrubostenná, objem 5 l, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 1","Slovenská republika","Žilinský","Žilina","Žilina","Rajecká cesta 18","8/4/2023 7:00:00 AM","9/22/2023 1:00:00 PM","","súbor jednotiek","1.0000","3694.000","Kúpna zmluva","False","Cena s DPH","8/1/2023 9:00:00 AM","297","3693.600","2000.000","20.000","2400.000","1293.600","5","26","8/1/2023 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=9ab339ec-1447-44db-becb-877d9343eb40","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3cbb32c7-34ea-4f8e-96b4-3110e790803d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=c7f3dae0-8dda-4e76-971f-6cd937fb47dc","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=dbadd7e0-587e-4212-b28e-8bd33e122d55","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=2774b92c-4347-4d9a-a025-9c80091e76a1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=4e7d9cdf-9ddb-47a7-8840-cc64283c1f49","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=718da78d-ee08-4a2c-8a96-b85b9efb7a8d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=29c86094-0ced-4196-bddb-251fa739eab1","35693487","Slovenská republika","","","Bratislava","831 06","Púchovská 12","","","","","",
"Z20237321","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/342276","zazmluvnená","§ 117 a § 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava","83247","Kutuzovova 8","7/14/2023 3:35:11 PM","8/1/2023 9:48:00 AM","Laboratórne diagnostické pomôcky a materiál  ","","","Tovar","","Spotrebný (drobný) laboratórny materiál je potrebný na výkon akreditovaných skúšok a rozborov PHM v akreditovanom laboratóriu na Úseku kontroly kvality. Tieto akreditované skúšky sú kontrolované Slovenskou národnou akreditačnou službou (SNAS).","Technické vlastnosti: Popis, Hodnota / charakteristika: kohút vypúšťací; Technické vlastnosti: Technické parametre, Hodnota / charakteristika: Objem k 5 l hrubostennej HDPE fľaši","Technické vlastnosti: Kohút vypúšťací k fľaši HDPE hrubostennej pre objem 5 l, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 2","Slovenská republika","Žilinský","Žilina","Žilina","Rajecká cesta 18","8/4/2023 7:00:00 AM","9/22/2023 1:00:00 PM","","súbor jednotiek","1.0000","3694.000","Kúpna zmluva","False","Cena s DPH","8/1/2023 9:00:00 AM","297","3693.600","2000.000","20.000","2400.000","1293.600","5","26","8/1/2023 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=9ab339ec-1447-44db-becb-877d9343eb40","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3cbb32c7-34ea-4f8e-96b4-3110e790803d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=c7f3dae0-8dda-4e76-971f-6cd937fb47dc","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=dbadd7e0-587e-4212-b28e-8bd33e122d55","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=2774b92c-4347-4d9a-a025-9c80091e76a1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=4e7d9cdf-9ddb-47a7-8840-cc64283c1f49","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=718da78d-ee08-4a2c-8a96-b85b9efb7a8d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=29c86094-0ced-4196-bddb-251fa739eab1","35693487","Slovenská republika","","","Bratislava","831 06","Púchovská 12","","","","","",
"Z20237321","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/342276","zazmluvnená","§ 117 a § 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava","83247","Kutuzovova 8","7/14/2023 3:35:11 PM","8/1/2023 9:48:00 AM","Laboratórne diagnostické pomôcky a materiál  ","","","Tovar","","Spotrebný (drobný) laboratórny materiál je potrebný na výkon akreditovaných skúšok a rozborov PHM v akreditovanom laboratóriu na Úseku kontroly kvality. Tieto akreditované skúšky sú kontrolované Slovenskou národnou akreditačnou službou (SNAS).","Technické vlastnosti: Popis, Hodnota / charakteristika: sudový lievik hrubostenný; Technické vlastnosti: Technické parametre, Hodnota / charakteristika: Materiál plast, Rozmery priemer lievika: 200 mmvýška: 200 mm, dĺžka stonky: 85 mm, priemer stonky: 22 mm","Technické vlastnosti: Lievik sudový hrubostenný, priemer lievika 200 mm, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 1","Slovenská republika","Žilinský","Žilina","Žilina","Rajecká cesta 18","8/4/2023 7:00:00 AM","9/22/2023 1:00:00 PM","","súbor jednotiek","1.0000","3694.000","Kúpna zmluva","False","Cena s DPH","8/1/2023 9:00:00 AM","297","3693.600","2000.000","20.000","2400.000","1293.600","5","26","8/1/2023 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=9ab339ec-1447-44db-becb-877d9343eb40","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3cbb32c7-34ea-4f8e-96b4-3110e790803d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=c7f3dae0-8dda-4e76-971f-6cd937fb47dc","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=dbadd7e0-587e-4212-b28e-8bd33e122d55","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=2774b92c-4347-4d9a-a025-9c80091e76a1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=4e7d9cdf-9ddb-47a7-8840-cc64283c1f49","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=718da78d-ee08-4a2c-8a96-b85b9efb7a8d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=29c86094-0ced-4196-bddb-251fa739eab1","35693487","Slovenská republika","","","Bratislava","831 06","Púchovská 12","","","","","",
"Z20237321","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/342276","zazmluvnená","§ 117 a § 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava","83247","Kutuzovova 8","7/14/2023 3:35:11 PM","8/1/2023 9:48:00 AM","Laboratórne diagnostické pomôcky a materiál  ","","","Tovar","","Spotrebný (drobný) laboratórny materiál je potrebný na výkon akreditovaných skúšok a rozborov PHM v akreditovanom laboratóriu na Úseku kontroly kvality. Tieto akreditované skúšky sú kontrolované Slovenskou národnou akreditačnou službou (SNAS).","Technické vlastnosti: Popis, Hodnota / charakteristika: vejárik, plastové držadlo; Technické vlastnosti: Technické parametre, Hodnota / charakteristika: Materiál držadlo: plast, Rozmery priemer1: 50 mm, priemer2: 340 mm","Technické vlastnosti: Kartáč/kefa na fľaše, priemer 50 mm s vejárikom, plastové držadlo, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 5","Slovenská republika","Žilinský","Žilina","Žilina","Rajecká cesta 18","8/4/2023 7:00:00 AM","9/22/2023 1:00:00 PM","","súbor jednotiek","1.0000","3694.000","Kúpna zmluva","False","Cena s DPH","8/1/2023 9:00:00 AM","297","3693.600","2000.000","20.000","2400.000","1293.600","5","26","8/1/2023 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=9ab339ec-1447-44db-becb-877d9343eb40","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3cbb32c7-34ea-4f8e-96b4-3110e790803d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=c7f3dae0-8dda-4e76-971f-6cd937fb47dc","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=dbadd7e0-587e-4212-b28e-8bd33e122d55","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=2774b92c-4347-4d9a-a025-9c80091e76a1","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=4e7d9cdf-9ddb-47a7-8840-cc64283c1f49","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=718da78d-ee08-4a2c-8a96-b85b9efb7a8d","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=29c86094-0ced-4196-bddb-251fa739eab1","35693487","Slovenská republika","","","Bratislava","831 06","Púchovská 12","","","","","",
