"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia",
"Z201836090","Z201836090_Z","Centrum biológie rastlín a biodiverzity Slovenskej akadémie vied","00679089","Slovenská republika","Bratislava","84523","Dúbravská cesta 9","VWR International GmbH","FN 189903 w","Rakúska republika","Viedeň","1150","Graumanngasse 7","Kúpna zmluva"," spotrebný materiál v molekulárnom laboratóriu","03116300-0 Latexové produkty;19520000-7 Plastové výrobky;38437110-1 Pipetové hroty;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava IV","Bratislava - mestská časť Karlova Ves","Dúbravská cesta 9","10.9.2018 8:21:00","28.9.2018 8:21:00","","sada","1,0000","275,000","20,000","330,000","0,000","3.9.2018 8:57:59",
"Z201837065","Z201837065_Z","Národná diaľničná spoločnosť, a.s.","35919001","Slovenská republika","Bratislava","84104","Dúbravská cesta 14","STAVES s.r.o.","45194629","Česká republika","Olomouc-Holice","77900","Stará Přerovská 765/4","Kúpna zmluva","Pásové samohybné hydraulické baranidlo","43311000-6 Baranidlá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Čadca","","","10.9.2018 6:30:00","30.11.2018 14:00:00","","ks","1,0000","58900,000","21,000","71269,000","61050,000","6.9.2018 15:43:59",
"Z201836600","Z201836600_Z","Vojenský technický a skúšobný ústav Záhorie","00800902","Slovenská republika","Záhorie","90524","Záhorie 266","SpektraVision s.r.o.","24769118","Česká republika","Nupaky","25101","Nupaky 128","Kúpna zmluva","Vysokorýchlostná videokamera","32333200-8 Videokamery;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Malacky","Záhorie (vojenský obvod)","Záhorie 266","3.12.2018 7:00:00","7.12.2018 11:00:00","","ks","1,0000","117700,000","21,000","142417,000","0,000","4.9.2018 12:37:59",
"Z201836375","Z201836375_Z","Východoslovenský ústav srdcových a cievnych chorôb","36601284","Slovenská republika","Košice","04011","Ondavská 8","PANEP s.r.o.","25550250","Česká republika","Rosice u Brna","665 01","Brněnská 1246","Rámcová dohoda","Tampón prešívaný ","33140000-3 Zdravotnícky spotrebný materiál;33141115-9 Zdravotnícke tampóny;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice II","Košice - mestská časť Západ","Ondavská 8","","","","ks","40600,0000","11682,000","10,000","12850,200","0,000","3.9.2018 12:38:00",
"Z201835461","Z201835461_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava","83247","Kutuzovova 8","Krimar s.r.o.","28626249","Česká republika","Havířov","73601","Hálkova 1456/11","Kúpna zmluva","Športové a rekreačné vybavenie","37400000-2 Športový tovar a výbava","Tovar;Služba","","Slovenská republika","Žilinský","Martin","Martin","ČSL Armády 3","10.9.2018 11:54:00","21.9.2018 11:55:00","","podľa technických vlastností","1,0000","1525,000","20,000","1830,000","0,000","3.9.2018 12:31:59",
"Z201835247","Z201835247_Z","Slovenská technická univerzita v Bratislave","00397687","Slovenská republika","Bratislava","81243","Vazovova 5","HUMUSOFT, spol. s r.o.","40525872","Česká republika","Praha","18600","Pobřežní 20","Kúpna zmluva","Dodávka licencie softvéru Matlab","48461000-7 Analytický alebo vedecký softvérový balík;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Vazovova 5","6.9.2018 9:00:00","27.9.2018 15:00:00","","licencia","1,0000","50754,000","21,000","61412,340","45,000","3.9.2018 11:37:59",
"Z201836336","Z201836336_Z","Fakultná nemocnica Trenčín","00610470","Slovenská republika","Trenčín","91171","Legionárska 28","Cardiomedical, s.r.o.","05448841","Česká republika","Praha 1","11000","náměstí Republiky 1078/1","Rámcová dohoda","kardiostimulátor jednodutinový, dvojdutinový - MRI kompatibilný a nie MRI kompatibilný s príslušenstvom (elektródy)","33182200-1 Srdcovostimulačné prístroje;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trenčiansky","Trenčín","Trenčín","Legionárska 28","","","","celok","1,0000","133240,000","10,000","146564,000","0,340","3.9.2018 11:38:00",
"Z201837243","Z201837243_Z","Správa a údržba ciest Trnavského samosprávneho kraja","37847783","Slovenská republika","Trnava","91853","Bulharská 39","PAS Zábřeh na Moravě a. s.","45192251","Česká republika","Zábřeh","78913","U Dráhy 828/8","Kúpna zmluva","Náhradné diely na Škodu 706 a Zetor 7211","16810000-6 Časti poľnohospodárskych mechanizmov;34330000-9 Náhradné diely pre vozidlá na prepravu tovaru, pre dodávky a osobné automobily;34913000-0 Rôzne náhradné diely;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Senica","Senica","Hurbanova 516","11.9.2018 8:00:00","14.9.2018 14:00:00","","celok v zmysle technickej špecifikácie","1,0000","446,280","21,000","540,000","156,000","7.9.2018 13:47:59",
"Z201837244","Z201837244_Z","Správa a údržba ciest Trnavského samosprávneho kraja","37847783","Slovenská republika","Trnava","91853","Bulharská 39","Marek Špeťko - IMEX","41648242","Slovenská republika","Nitra","94901","Bulharská 1256/24","Kúpna zmluva","Železiarsky tovar","43830000-0 Mechanické náradie;44316000-8 Železiarsky tovar;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Senica","Senica","Hurbanova 516","11.9.2018 8:00:00","17.9.2018 14:00:00","","celok v zmysle technickej špecifikácie","1,0000","237,500","20,000","285,000","25,000","7.9.2018 13:47:59",
"Z201836716","Z201836716_Z","Správa a údržba ciest Trnavského samosprávneho kraja","37847783","Slovenská republika","Trnava","91853","Bulharská 39","ContiTrade Slovakia s.r.o.","36336556","Slovenská republika","Púchov","02001","Terézie Vansovej 1054","Kúpna zmluva","Pneumatiky na vozidlo TATRA 815 UDS","34351100-3 Pneumatiky pre motorové vozidlá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Galanta","Sereď","Šulekovská 21","7.9.2018 8:00:00","13.9.2018 14:00:00","","celok v zmysle technickej špecifikácie","1,0000","875,000","20,000","1050,000","199,200","5.9.2018 10:50:00",
